gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ABCA5	0	1	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	13	0	0	3	1
ABCA6	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	23	3	4	10	20	0	18	6	32	6	6	2	19	33	9	14	12	0	6	23	1	0
ABCA8	242	62	1	337	116	0	67	83	116	104	30	88	33	61	53	464	28	75	39	10	26	82
ABCA9	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	35	0	0	0	2
ABCB10	50	91	30	72	43	0	30	72	66	30	34	89	13	43	108	235	34	75	20	121	30	102
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	45	15	0	7	0	0	6	13	17	31	6	19	5	14	2	96	0	51	0	0	9	41
ABCB7	142	102	87	78	120	0	66	145	257	32	85	375	57	41	14	740	57	166	31	135	37	63
ABCB8	1	37	3	28	22	0	31	12	28	12	7	55	1	0	21	92	19	7	0	0	4	23
ABCB9	4	0	6	0	0	0	0	3	36	0	0	0	0	0	0	0	0	3	1	4	1	2
ABCC1	22	19	26	32	40	0	16	28	13	25	8	32	26	7	17	92	11	64	20	96	0	8
ABCC10	18	7	22	12	0	0	0	11	29	1	15	0	19	30	0	101	20	0	4	0	0	1
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
ABCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	111	87	39	221	91	0	85	208	130	77	15	225	177	161	65	267	78	172	90	55	64	79
ABCC5	63	42	36	55	36	0	24	41	78	26	5	153	53	41	37	39	100	48	11	105	16	28
ABCC5-AS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	1	0	2	0	0	5	5	0	0	0	0	0	0	0	8	0	4	0	0	0
ABCC6P1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	5	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0
ABCC8	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1
ABCD1	1	1	1	5	3	0	1	2	3	2	2	1	0	2	7	36	0	2	0	0	0	0
ABCD2	41	0	0	11	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
ABCD3	188	42	90	264	51	0	40	232	122	16	18	286	115	31	274	48	54	0	187	107	75	136
ABCD4	7	70	26	49	26	0	17	16	37	55	21	64	4	2	13	281	43	0	21	125	20	15
ABCE1	1093	955	671	1182	999	0	817	854	1315	586	238	883	405	774	1186	3652	454	626	459	945	546	1447
ABCF1	405	239	248	335	324	0	205	231	472	295	172	422	260	435	267	1950	200	302	227	32	96	258
ABCF2	220	115	172	213	235	0	336	183	262	242	242	360	299	604	433	1244	230	434	199	541	207	599
ABCF3	97	1	74	17	42	0	67	51	68	35	35	61	82	86	44	380	36	96	28	154	17	71
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	149	37	99	97	121	0	22	75	71	32	35	168	64	114	4	276	29	40	56	57	77	119
ABHD11	37	52	41	39	20	0	14	9	37	39	39	39	23	43	27	261	14	70	29	89	12	41
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	22	2	26	28	0	0	0	31	41	33	9	19	22	12	20	140	13	18	7	95	14	41
ABHD12B	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0
ABHD13	74	54	26	2	77	0	66	119	98	51	6	60	12	160	0	278	50	0	15	67	29	53
ABHD14A	47	7	44	31	8	0	28	36	51	9	29	25	20	30	64	153	20	30	12	46	8	11
ABHD14A-ACY1	33	0	28	0	8	0	19	0	106	46	3	94	23	58	38	172	57	7	17	52	0	53
ABHD14B	119	85	85	91	65	0	95	118	169	110	83	183	152	174	185	776	49	168	77	116	51	167
ABHD15	0	0	0	0	0	0	0	0	9	4	0	38	0	90	25	0	1	0	0	20	0	0
ABHD16A	159	73	173	156	163	0	86	93	143	108	81	169	212	150	167	459	88	125	63	341	27	112
ABHD16B	0	0	3	12	0	0	0	2	0	0	1	0	3	3	0	0	9	2	0	1	0	0
ABHD17A	20	18	23	36	9	0	24	15	38	27	22	41	28	31	43	68	13	25	22	30	0	7
ABHD17B	12	27	23	64	14	0	29	19	26	14	17	0	19	67	41	169	4	42	13	0	8	17
ABHD17C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD18	78	54	8	66	103	0	8	40	68	57	0	12	20	69	21	256	48	80	30	23	8	45
ABHD2	29	28	29	40	63	0	12	12	40	29	1	40	27	58	31	124	35	7	8	10	11	23
ABHD3	232	181	45	159	175	0	54	112	316	24	62	122	140	164	67	961	24	301	18	160	53	112
ABHD4	111	37	199	41	50	0	97	90	123	182	48	210	49	339	209	342	160	117	48	0	50	111
ABHD5	131	177	130	174	129	0	230	150	275	48	68	153	126	116	144	738	101	207	78	205	74	148
ABHD6	9	0	0	5	19	0	15	12	19	0	5	32	17	24	3	150	0	24	29	0	5	11
ABHD8	7	12	8	2	4	0	13	8	38	10	0	21	15	8	51	30	1	15	1	18	1	15
ABI1	189	93	210	455	203	0	241	281	293	165	107	409	155	262	147	1390	88	301	136	331	100	250
ABI2	22	22	39	22	8	0	38	117	64	27	45	114	10	89	55	219	30	73	24	73	20	28
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ABL1	109	60	70	96	79	1	72	135	111	40	25	117	67	80	126	423	35	134	52	234	7	18
ABL2	39	52	17	54	30	0	3	90	83	22	16	60	29	54	10	314	14	48	3	42	13	27
ABLIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	5	18	6	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	3
ABO	2	10	5	1	1	0	0	10	13	0	1	14	7	0	0	10	0	0	4	2	1	2
ABR	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	78	0	0	0	0	0	0
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	18	4	34	22	11	0	65	67	93	27	11	68	59	58	74	250	24	50	38	9	11	13
ABRAXAS1	158	54	76	65	126	0	250	164	103	62	54	125	31	182	130	294	39	149	66	199	51	125
ABRAXAS2	74	55	58	37	23	0	86	97	78	90	32	94	74	137	75	575	48	107	43	0	31	86
ABT1	444	428	233	258	320	0	178	225	559	257	178	405	339	443	371	1317	211	214	109	478	91	271
ABTB1	0	0	0	0	0	0	0	2	9	2	6	0	6	0	0	9	0	0	0	0	0	1
ABTB2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACAA1	156	169	110	113	62	0	196	83	136	105	81	98	119	70	306	546	25	74	91	128	29	98
ACAA2	429	195	134	215	197	0	124	174	579	206	194	280	264	340	426	1457	101	464	166	376	168	388
ACACA	158	77	56	74	48	0	9	53	87	60	86	165	122	45	213	385	37	87	31	137	23	58
ACACB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	1
ACAD10	53	6	8	2	22	0	12	7	11	32	2	42	8	0	3	80	14	7	23	0	6	21
ACAD11	0	2	0	0	11	0	0	7	1	0	0	74	19	20	0	270	0	0	0	0	8	19
ACAD8	86	85	13	109	90	0	11	33	93	67	25	120	48	55	80	532	39	74	22	79	35	72
ACAD9	14	33	45	73	19	0	42	28	13	38	23	38	24	12	10	304	62	50	95	124	11	50
ACADL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	1777	1318	682	1204	940	0	647	1348	1630	555	388	1059	515	951	1169	5647	534	1232	601	932	654	1148
ACADS	31	29	45	38	8	0	15	19	24	53	8	83	66	87	57	321	50	45	50	128	13	39
ACADSB	72	44	73	108	22	0	127	56	145	18	16	139	33	92	104	279	32	47	13	43	28	27
ACADVL	282	360	225	212	95	0	187	139	288	165	120	701	256	446	507	1034	94	400	112	216	66	246
ACAN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAP1	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	1	0	14	0	0	0	8
ACAP2	507	670	169	308	338	0	333	298	549	226	154	549	234	458	502	1971	229	413	257	303	79	172
ACAP3	7	0	5	10	6	0	1	6	3	9	0	1	18	0	6	17	0	0	4	4	0	5
ACAT1	746	541	830	688	586	0	358	945	1314	406	364	657	545	775	741	3057	594	600	281	1267	537	1063
ACAT2	734	575	627	572	449	0	468	492	712	386	217	759	497	900	442	2815	238	739	292	627	324	817
ACBD3	165	107	95	72	145	0	33	186	216	84	35	109	163	66	175	485	50	183	43	181	52	89
ACBD3-AS1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ACBD4	3	17	4	6	8	0	10	0	19	21	5	24	8	24	0	95	17	0	4	0	1	5
ACBD5	23	74	58	18	20	0	27	8	57	10	37	54	37	11	105	174	5	7	42	89	17	25
ACBD6	373	213	182	301	170	0	238	232	348	315	147	312	259	324	383	1083	118	421	146	347	68	137
ACBD7	0	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	38	29	11	14	21	0	12	6	27	35	21	40	19	112	92	290	11	25	2	44	3	27
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	58	68	53	91	57	0	36	52	87	84	41	88	62	62	214	623	17	67	42	82	30	71
ACE	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	4	0	4	0	1	0	0	0	4	0	0	0	0	0	1	0	17	0	0	0	0	0
ACER3	66	67	94	74	59	0	97	41	157	51	4	190	54	121	85	476	97	3	13	108	50	123
ACHE	0	1	0	0	8	0	0	0	5	0	5	0	0	0	0	2	0	0	0	0	0	0
ACIN1	61	44	36	53	29	0	22	32	65	38	27	55	37	95	165	194	28	24	24	37	12	33
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACKR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
ACLY	114	101	188	169	158	0	190	108	159	89	165	306	125	302	342	1359	37	227	124	254	40	116
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	25	51	51	68	52	0	38	56	41	8	13	19	48	156	87	234	38	0	20	57	35	77
ACO2	186	124	247	233	183	0	206	132	315	267	58	347	306	140	486	881	173	339	73	243	81	289
ACOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT11	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	453	531	411	547	390	0	375	481	675	347	253	672	436	860	695	2958	345	501	321	650	304	560
ACOT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	109	50	104	75	31	0	48	73	151	91	54	141	82	25	186	471	76	84	64	96	48	180
ACOT8	88	109	130	96	72	0	93	76	190	47	47	218	101	174	163	567	31	108	58	100	31	89
ACOT9	174	186	210	107	134	0	84	125	201	108	98	187	105	184	64	792	59	153	108	615	104	268
ACOX1	103	1	86	53	142	0	23	97	63	33	23	150	60	5	112	380	60	93	19	62	24	80
ACOX2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ACOX3	7	5	9	57	15	0	5	1	26	37	19	84	0	40	0	108	0	30	33	9	1	20
ACOXL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOXL-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP1	772	651	778	838	856	0	567	768	1548	525	369	1285	874	920	1394	3714	345	814	473	812	504	992
ACP2	68	44	10	15	0	0	6	1	84	1	6	51	0	56	60	63	2	0	0	0	2	12
ACP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	0	0	0	0	0	0	0	2	8	0	5	0	0	0	5	0	0	0	0	0	0	0
ACP6	25	25	0	0	25	0	0	9	0	27	18	90	22	48	69	60	12	18	0	0	7	3
ACP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	6	0	0	0	0	0	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0	1	0	5	0	0	3	0	2	1	0	6	0	16	3	25	0	2	4	0	5	10
ACRV1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0	0	0	3	6	1	0	0	59	8	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ACSF2	0	9	17	0	7	0	25	8	58	16	6	0	1	18	0	66	44	37	13	40	1	8
ACSF3	37	22	13	55	33	0	6	34	12	50	17	65	35	43	94	105	22	36	36	1	9	51
ACSL1	69	32	88	165	187	0	154	206	194	140	59	234	199	50	42	345	72	4	13	305	31	90
ACSL3	332	337	209	383	207	0	216	343	356	137	163	433	268	323	425	1633	160	264	192	416	148	442
ACSL4	91	7	152	103	126	0	103	69	117	41	41	43	83	163	61	309	47	106	23	68	34	109
ACSL5	45	0	0	85	14	0	23	25	85	0	0	47	30	60	34	98	0	46	22	87	0	0
ACSL6	0	0	0	0	2	0	10	4	0	0	0	0	0	0	0	68	0	0	0	0	0	2
ACSM1	2	29	0	11	2	0	2	9	30	7	4	28	0	0	0	0	2	2	3	0	7	11
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ACSM2B	32	25	17	57	20	0	8	9	89	14	10	61	24	25	48	483	12	113	6	1	14	25
ACSM3	2132	2361	1975	3059	2377	1	2780	3357	2788	2315	592	2590	2133	1575	3290	17432	2894	1892	2599	3352	680	1605
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	5	0	0	0	5	0	0	0	0	1	0	0	0	0	0	8	0	5	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS2	219	46	270	131	119	0	63	116	160	87	48	71	75	101	128	969	74	243	109	103	33	105
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	0	11	13	21	0	0	4	0	12	0	0	4	12	0	53	0	15	0	0	5	4
ACTA2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTB	7721	7240	6210	5611	6241	7	4788	4535	9915	4893	4369	9109	6125	11886	10106	33622	3288	7581	3980	11860	4613	13342
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	21	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	2381	3663	2133	1856	2149	0	1255	1848	3117	1724	1508	3858	1760	3946	2863	14249	1018	2251	1058	3777	1252	3369
ACTG1P17	2	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	3
ACTG1P20	1	4	0	8	9	0	0	8	49	28	20	1	26	0	0	59	0	28	0	30	2	7
ACTG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTL6A	1163	883	536	699	858	0	569	1251	1209	479	426	1534	564	1228	1262	4050	653	1468	745	926	452	935
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	54	45	153	127	66	0	47	77	130	68	78	121	166	115	156	715	11	255	94	106	19	90
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ACTN3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	10	39	12	12	17	0	7	15	9	25	23	36	29	50	17	157	10	20	10	14	12	7
ACTR10	467	466	348	650	450	0	285	728	1129	376	224	1060	295	652	474	3773	341	510	218	648	223	447
ACTR1A	88	50	69	100	72	0	52	62	147	52	66	95	116	40	15	626	19	110	66	50	57	135
ACTR1B	11	30	16	24	2	0	7	24	42	33	18	10	19	48	32	203	2	15	21	30	6	7
ACTR2	1865	775	545	643	686	0	800	1078	1821	558	194	1175	423	906	825	4413	338	708	280	528	198	623
ACTR3	1246	1088	945	833	1415	2	1371	1439	1286	929	471	2167	1375	977	1739	7439	671	1725	728	2130	973	1943
ACTR3B	87	55	88	117	86	0	37	50	103	42	59	128	75	11	87	424	49	72	12	83	29	109
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	148	42	15	81	57	0	39	62	124	47	32	43	31	82	31	143	103	60	32	47	10	29
ACTR5	18	31	17	6	14	0	0	47	2	17	17	26	20	44	0	78	28	0	0	29	7	25
ACTR6	506	315	365	488	440	1	192	966	584	379	173	400	319	362	264	1622	164	469	314	414	249	382
ACTR8	24	45	39	69	29	0	10	28	49	4	36	51	20	6	31	209	18	27	0	52	6	34
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	107	63	56	48	44	0	3	66	181	31	24	166	16	91	106	336	2	91	21	87	15	65
ACVR1B	0	5	18	0	1	0	0	14	23	1	0	12	0	2	0	16	6	0	0	0	1	0
ACVR1C	13	0	8	0	0	0	21	34	0	9	5	0	0	0	42	117	2	0	0	63	3	21
ACVR2A	0	50	0	0	20	0	0	29	0	0	0	33	9	0	0	44	2	0	4	0	0	1
ACVR2B	39	3	27	35	13	0	56	33	61	9	17	7	17	17	110	294	16	64	45	17	4	10
ACVR2B-AS1	8	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	0	0	0	0	1
ACVRL1	5	0	10	4	0	0	26	8	3	5	0	0	2	25	8	0	1	2	10	0	1	2
ACY1	364	250	297	230	198	0	222	227	373	270	156	335	250	556	538	1711	119	327	194	365	132	377
ACY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
